F S   UID     PID    PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
4 S   990    1164       1  0  80   0 -  4185 -      ?        00:00:01 systemd-oomd
4 S   991    1165       1  0  80   0 -  5294 -      ?        00:00:00 systemd-resolve
4 S   996    1166       1  0  80   0 - 22557 -      ?        00:00:00 systemd-timesyn
4 S     0    1168       1  0  80   0 - 14306 -      ?        00:00:00 VGAuthService
4 S     0    1170       1  0  80   0 - 61635 -      ?        00:00:05 vmtoolsd
4 S   107    1271       1  0  80   0 -  1557 -      ?        00:00:00 avahi-daemon
4 S   101    1273       1  0  80   0 -  2451 -      ?        00:00:00 dbus-daemon
4 S   988    1279       1  0  80   0 - 129056 -     ?        00:00:00 gnome-remote-de
4 S   987    1572       1  0  80   0 - 95595 -      ?        00:00:00 polkitd
4 S     0    1575       1  0  80   0 - 385787 -     ?        00:00:03 snapd
4 S     0    1579       1  0  80   0 - 77748 -      ?        00:00:00 accounts-daemon
4 S     0    1580       1  0  80   0 -  2381 -      ?        00:00:00 cron
4 S     0    1581       1  0  80   0 - 77500 -      ?        00:00:00 switcheroo-cont
4 S     0    1583       1  0  80   0 -  4375 -      ?        00:00:00 systemd-logind
4 S     0    1584       1  0  80   0 - 117220 -     ?        00:00:00 udisksd
4 S   102    1586       1  0  80   0 - 55036 -      ?        00:00:00 rsyslogd
1 S   107    1592    1271  0  80   0 -  1509 -      ?        00:00:00 avahi-daemon
4 S     0    1593       1  0  80   0 - 83836 -      ?        00:00:01 NetworkManager
4 S     0    1594       1  0  80   0 -  4118 -      ?        00:00:00 wpa_supplicant
4 S     0    1688       1  0  80   0 - 79033 -      ?        00:00:00 ModemManager
1 I     0    1694       2  0  60 -20 -     0 -      ?        00:00:00 kworker/1:2H
4 S     0    1855       1  0  80   0 - 28279 -      ?        00:00:00 unattended-upgr
4 S     0    1871       1  0  80   0 - 78152 -      ?        00:00:00 gdm3
4 S   116    1972       1  0  81   1 -  5120 -      ?        00:00:00 rtkit-daemon
1 I     0    2047       2  0  80   0 -     0 -      ?        00:00:00 kworker/u515:4-events_freezable_pwr_efficient
1 I     0    2065       2  0  60 -20 -     0 -      ?        00:00:00 kworker/u520:2-ttm
4 S   117    2085       1  0  80   0 - 79470 -      ?        00:00:00 colord
4 S     0    2140       1  0  80   0 - 79604 -      ?        00:00:00 upowerd
4 S     0    2382       1  0  80   0 - 77786 -      ?        00:00:00 power-profiles-
1 I     0    2525       2  0  60 -20 -     0 -      ?        00:00:00 kworker/u518:2-ttm
1 I     0    2786       2  0  80   0 -     0 -      ?        00:00:00 kworker/u514:2-flush-8:0
1 S     0    2993       2  0  58   - -     0 -      ?        00:00:00 psimon
4 S     0    3056    1871  0  80   0 - 60080 -      ?        00:00:00 gdm-session-wor
4 S  1000    3070       1  0  80   0 -  5341 -      ?        00:00:00 systemd
5 S  1000    3075    3070  0  80   0 -  5160 -      ?        00:00:00 (sd-pam)
0 S  1000    3097    3070  1  69 -11 - 26435 ep_pol ?        00:00:11 pipewire
0 S  1000    3098    3070  0  80   0 - 21726 ep_pol ?        00:00:00 pipewire
0 S  1000    3107    3070  0  69 -11 - 120344 do_pol ?       00:00:00 wireplumber
0 S  1000    3109    3070  0  69 -11 - 44923 ep_pol ?        00:00:00 pipewire-pulse
0 S  1000    3110    3070  0  80   0 - 115877 do_pol ?       00:00:00 gnome-keyring-d
0 S  1000    3114    3070  0  80   0 -  2086 ep_pol ?        00:00:00 dbus-daemon
0 S  1000    3170    3070  0  80   0 - 151995 do_pol ?       00:00:00 xdg-document-po
0 S  1000    3176    3070  0  80   0 - 77380 do_pol ?        00:00:00 xdg-permission-
4 S     0    3183    3170  0  80   0 -   692 -      ?        00:00:00 fusermount3
4 S  1000    3239    3056  0  80   0 - 58972 do_pol tty2     00:00:00 gdm-wayland-ses
0 S  1000    3243    3239  0  80   0 - 74037 do_pol tty2     00:00:00 gnome-session-b
0 S  1000    3334    3070  0  80   0 - 40543 do_pol ?        00:00:00 gcr-ssh-agent
0 S  1000    3335    3070  0  80   0 - 22309 do_pol ?        00:00:00 gnome-session-c
0 S  1000    3350    3070  0  80   0 - 78721 do_pol ?        00:00:00 gvfsd
0 S  1000    3361    3070  0  80   0 - 114981 futex_ ?       00:00:00 gvfsd-fuse
0 S  1000    3363    3070  0  80   0 - 166469 do_pol ?       00:00:00 gnome-session-b
0 S  1000    3395    3070  4  80   0 - 986298 do_pol ?       00:00:35 gnome-shell
0 S  1000    3398    3363  0  80   0 - 95161 do_pol ?        00:00:00 at-spi-bus-laun
0 S  1000    3409    3398  0  80   0 -  1771 ep_pol ?        00:00:00 dbus-daemon
0 S  1000    3450    3070  0  80   0 - 58442 do_pol ?        00:00:00 at-spi2-registr
0 S  1000    3462    3070  0  80   0 - 164103 do_pol ?       00:00:00 gnome-shell-cal
0 S  1000    3488    3070  0  80   0 - 97234 do_pol ?        00:00:06 ibus-daemon
0 S  1000    3489    3070  0  80   0 - 685074 do_pol ?       00:00:00 gjs
0 S  1000    3490    3070  0  80   0 - 95946 do_pol ?        00:00:00 gsd-a11y-settin
0 S  1000    3491    3070  0  80   0 - 102753 do_pol ?       00:00:00 gsd-color
0 S  1000    3503    3070  0  80   0 - 107351 do_pol ?       00:00:00 gsd-datetime
0 S  1000    3515    3070  0  80   0 - 114788 do_pol ?       00:00:00 gsd-housekeepin
0 S  1000    3516    3070  0  80   0 - 120866 do_pol ?       00:00:00 gsd-keyboard
0 S  1000    3518    3070  0  80   0 - 167221 do_pol ?       00:00:00 gsd-media-keys
0 S  1000    3529    3070  0  80   0 - 130365 do_pol ?       00:00:00 gsd-power
0 S  1000    3530    3070  0  80   0 - 80368 do_pol ?        00:00:00 gsd-print-notif
0 S  1000    3532    3070  0  80   0 - 132856 do_pol ?       00:00:00 gsd-rfkill
0 S  1000    3534    3070  0  80   0 - 77455 do_pol ?        00:00:00 gsd-screensaver
0 S  1000    3546    3070  0  80   0 - 135277 do_pol ?       00:00:00 gsd-sharing
0 S  1000    3551    3070  0  80   0 - 96524 do_pol ?        00:00:00 gsd-smartcard
0 S  1000    3552    3363  0  80   0 - 265161 do_pol ?       00:00:00 evolution-alarm
0 S  1000    3558    3070  0  80   0 - 98616 do_pol ?        00:00:00 gsd-sound
0 S  1000    3559    3070  0  80   0 - 121228 do_pol ?       00:00:00 gsd-wacom
0 S  1000    3578    3363  0  80   0 - 76432 do_pol ?        00:00:00 gsd-disk-utilit
0 S  1000    3604    3070  0  80   0 - 54559 -      ?        00:00:06 vmtoolsd
0 S  1000    3638    3070  0  80   0 - 103559 do_pol ?       00:00:00 gsd-printer
0 S  1000    3737    3488  0  80   0 - 59219 do_pol ?        00:00:00 ibus-memconf
0 S  1000    3738    3488  0  80   0 - 104859 do_pol ?       00:00:02 ibus-extension-
0 S  1000    3756    3070  0  80   0 - 77664 do_pol ?        00:00:00 ibus-portal
0 S  1000    3772    3070  0  80   0 - 97232 do_pol ?        00:00:00 gvfs-udisks2-vo
0 S  1000    3778    3070  0  80   0 - 97750 do_pol ?        00:00:00 gvfs-afc-volume
0 S  1000    3784    3070  0  80   0 - 77521 do_pol ?        00:00:00 gvfs-mtp-volume
0 S  1000    3789    3070  0  80   0 - 77759 do_pol ?        00:00:00 gvfs-gphoto2-vo
0 S  1000    3797    3070  0  80   0 - 77498 do_pol ?        00:00:00 gvfs-goa-volume
0 S  1000    3802    3070  0  80   0 - 136885 do_pol ?       00:00:00 goa-daemon
0 S  1000    3810    3070  0  80   0 - 115866 do_pol ?       00:00:00 goa-identity-se
0 S  1000    3823    3488  0  80   0 - 59250 do_pol ?        00:00:01 ibus-engine-sim
0 S  1000    3869    3070  0  80   0 - 189002 do_pol ?       00:00:00 evolution-sourc
0 S  1000    3871    3070  0  80   0 - 57610 do_pol ?        00:00:00 dconf-service
1 I     0    3880       2  0  80   0 -     0 -      ?        00:00:00 kworker/u516:0-events_unbound
0 S  1000    3883    3350  0  80   0 - 134077 do_pol ?       00:00:00 gvfsd-trash
0 S  1000    3905    3395  0  80   0 - 64592 ep_pol ?        00:00:00 Xwayland
0 S  1000    3907    3070  0  80   0 - 685076 do_pol ?       00:00:00 gjs
0 S  1000    3929    3070  0  99   - - 183614 do_pol ?       00:00:00 tracker-miner-f
1 I     0    3934       2  0  60 -20 -     0 -      ?        00:00:00 kworker/u519:3
4 S  1000    3935    3070  0  80   0 -  9782 do_wai ?        00:00:00 snapd-desktop-i
1 I     0    4021       2  0  60 -20 -     0 -      ?        00:00:00 kworker/u521:1-ttm
1 I     0    4024       2  0  60 -20 -     0 -      ?        00:00:00 kworker/u518:4-ttm
1 S  1000    4029    3935  0  80   0 - 107400 do_pol ?       00:00:00 snapd-desktop-i
0 S  1000    4069    3070  0  80   0 - 159882 do_pol ?       00:00:00 gsd-xsettings
0 S  1000    4097    3070  0  80   0 - 222874 do_pol ?       00:00:00 evolution-calen
0 S  1000    4116    3070  0  80   0 - 59149 do_pol ?        00:00:00 gvfsd-metadata
0 S  1000    4121    3070  0  80   0 - 156954 do_pol ?       00:00:00 xdg-desktop-por
0 S  1000    4128    3070  0  80   0 - 218017 do_pol ?       00:00:00 xdg-desktop-por
0 S  1000    4140    3070  0  80   0 - 103929 do_pol ?       00:00:00 xdg-desktop-por
0 S  1000    4166    3070  0  80   0 - 206777 do_pol ?       00:00:00 evolution-addre
0 S  1000    4183    3395  0  80   0 - 738661 do_pol ?       00:00:00 gjs
0 S  1000    4220    3070  0  80   0 - 66268 do_pol ?        00:00:00 ibus-x11
0 S  1000    4224    3395  0  80   0 - 185907 do_pol ?       00:00:00 mutter-x11-fram
1 I     0    4255       2  0  80   0 -     0 -      ?        00:00:00 kworker/u515:0-events_unbound
0 S  1000    4305    3070  1  80   0 - 176476 do_pol ?       00:00:08 gnome-terminal-
0 S  1000    4312    4305  0  80   0 -  3323 do_wai pts/0    00:00:00 bash
0 S  1000    4348    3363  0  80   0 - 122387 do_pol ?       00:00:00 update-notifier
4 S     0    4406       1  0  80   0 - 144506 -     ?        00:00:03 fwupd
1 I     0    4455       2  0  80   0 -     0 -      ?        00:00:00 kworker/u516:1-events_power_efficient
4 S     0    4458       1  0  80   0 -  2088 -      ?        00:00:00 anacron
1 I     0    4546       2  0  80   0 -     0 -      ?        00:00:00 kworker/1:1-cgroup_destroy
4 S     0    4725       1  0  80   0 -  9031 -      ?        00:00:00 cupsd
4 S   114    4752       1  0  80   0 - 66932 -      ?        00:00:00 cups-browsed
4 S   998    4827       1  0  80   0 -  4568 -      ?        00:00:00 systemd-network
1 I     0    4860       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-cfg80211
1 I     0    4861       2  0  80   0 -     0 -      ?        00:00:00 kworker/2:3-cgroup_destroy
1 I     0    4908       2  0  80   0 -     0 -      ?        00:00:00 kworker/u513:0-events_unbound
0 S  1000    4914    4305  0  80   0 -  3026 do_wai pts/1    00:00:00 bash
1 I     0    4921       2  0  60 -20 -     0 -      ?        00:00:00 kworker/u520:0-ttm
1 I     0    5042       2  0  60 -20 -     0 -      ?        00:00:00 kworker/u520:3-ttm
