Linux 6.11.0-14-generic (osboxes) 	02/20/2025 	_x86_64_	(4 CPU)
11:43:07 PM  1000      3335      2.00      3.00  Xwayland
11:43:07 PM  1000      3711      2.00      0.00  mutter-x11-fram
11:43:07 PM  1000      3928     45.00     18.00  gnome-terminal-
11:43:07 PM     0      5823      1.00      0.00  kworker/0:1-events
11:43:07 PM     0      6142     84.00      0.00  kworker/u513:3-events_unbound
11:43:07 PM     0      6491     13.00      0.00  kworker/3:3-events
11:43:07 PM     0      6495      2.00      0.00  kworker/2:0H-kblockd
11:43:07 PM     0      6496      1.00      0.00  kworker/3:1H-kblockd
11:43:07 PM     0      6544     14.00      8.00  kworker/u516:3-events_unbound
11:43:07 PM     0      6561     15.00      0.00  kworker/u515:0-ext4-rsv-conversion
11:43:07 PM     0      6590      1.00      0.00  kworker/u516:2-events_power_efficient
11:43:07 PM     0      6677      5.00      0.00  kworker/1:0-events
11:43:07 PM     0      6700      3.00      0.00  kworker/2:0-events
11:43:07 PM     0      6728      6.00      2.00  kworker/u514:2-events_unbound
11:43:07 PM     0      6792      4.00      1.00  kworker/u514:3-events_unbound
11:43:07 PM     0      6801      4.00     15.00  kworker/u515:1-events_unbound
11:43:07 PM     0      7076      1.00      0.00  packagekitd
11:43:07 PM  1000      7136      1.00      1.00  pidstat
11:43:07 PM  1000      7137      1.00     82.00  tee
11:43:07 PM     0      7151      4.00      0.00  update-motd-upd
11:43:07 PM     0      7165      5.00      1.00  apt-check

11:43:07 PM   UID       PID   cswch/s nvcswch/s  Command
11:43:08 PM     0         2      1.00      0.00  kthreadd
11:43:08 PM     0        16      7.00      0.00  ksoftirqd/0
11:43:08 PM     0        17     34.00      0.00  rcu_preempt
11:43:08 PM     0        20      1.00      0.00  migration/0
11:43:08 PM     0        25      1.00      0.00  migration/1
11:43:08 PM     0        31      1.00      0.00  migration/2
11:43:08 PM     0        32      1.00      0.00  ksoftirqd/2
11:43:08 PM     0        37      1.00      0.00  migration/3
11:43:08 PM     0        38     12.00      0.00  ksoftirqd/3
11:43:08 PM     0        53      2.00      0.00  kcompactd0
11:43:08 PM     0       476      7.00      0.00  irq/16-vmwgfx
11:43:08 PM   990      1162      1.00      0.00  systemd-oomd
11:43:08 PM     0      1169     10.00      0.00  vmtoolsd
11:43:08 PM  1000      2804     81.00     23.00  gnome-shell
11:43:08 PM  1000      2901     89.00      4.00  ibus-daemon
11:43:08 PM  1000      3035     10.00      0.00  vmtoolsd
11:43:08 PM  1000      3123      7.00      0.00  ibus-extension-
11:43:08 PM  1000      3246     34.00      1.00  ibus-engine-sim
11:43:08 PM  1000      3335      1.00      0.00  Xwayland
11:43:08 PM  1000      3928     57.00     12.00  gnome-terminal-
11:43:08 PM     0      5313      8.00      0.00  kworker/0:1H-kblockd
11:43:08 PM     0      5823      2.00      0.00  kworker/0:1-events
11:43:08 PM     0      6142     70.00      0.00  kworker/u513:3-events_unbound
11:43:08 PM     0      6491     16.00      0.00  kworker/3:3-mm_percpu_wq
11:43:08 PM     0      6495      2.00      0.00  kworker/2:0H-kblockd
11:43:08 PM     0      6496     18.00      1.00  kworker/3:1H-kblockd
11:43:08 PM     0      6544      4.00      3.00  kworker/u516:3-flush-8:0
11:43:08 PM     0      6561      1.00      0.00  kworker/u515:0-writeback
11:43:08 PM     0      6590     31.00     17.00  kworker/u516:2-events_unbound
11:43:08 PM     0      6677      4.00      0.00  kworker/1:0-mm_percpu_wq
11:43:08 PM     0      6688      2.00      0.00  kworker/u516:1-flush-8:0
11:43:08 PM     0      6700      6.00      0.00  kworker/2:0-events
11:43:08 PM     0      6728      6.00      0.00  kworker/u514:2-events_unbound
11:43:08 PM     0      6732      1.00      0.00  kworker/u515:3-events_power_efficient
11:43:08 PM     0      6792      6.00      1.00  kworker/u514:3-events_unbound
11:43:08 PM     0      6801      1.00      1.00  kworker/u515:1-writeback
11:43:08 PM     0      6929      2.00      0.00  kworker/u516:0
11:43:08 PM     0      6934      1.00      0.00  kworker/3:2H
11:43:08 PM  1000      7136      1.00      0.00  pidstat
11:43:08 PM  1000      7137      1.00     70.00  tee
11:43:08 PM     0      7165    154.00     18.00  apt-check
11:43:08 PM     0      7169      3.00      0.00  kworker/u516:4-ext4-rsv-conversion

11:43:08 PM   UID       PID   cswch/s nvcswch/s  Command
11:43:09 PM     0        16      0.99      0.00  ksoftirqd/0
11:43:09 PM     0        17     34.65      0.00  rcu_preempt
11:43:09 PM     0        32      2.97      0.00  ksoftirqd/2
11:43:09 PM     0        53      1.98      0.00  kcompactd0
11:43:09 PM     0       476      8.91      0.00  irq/16-vmwgfx
11:43:09 PM     0      1169     11.88      0.00  vmtoolsd
11:43:09 PM  1000      2519      0.99      0.00  dbus-daemon
11:43:09 PM  1000      2804    133.66     25.74  gnome-shell
11:43:09 PM  1000      2901     62.38      0.00  ibus-daemon
11:43:09 PM  1000      3035     10.89      0.00  vmtoolsd
11:43:09 PM  1000      3123      6.93      0.00  ibus-extension-
11:43:09 PM  1000      3246     21.78      0.00  ibus-engine-sim
11:43:09 PM  1000      3335      3.96      3.96  Xwayland
11:43:09 PM  1000      3711      5.94      0.00  mutter-x11-fram
11:43:09 PM  1000      3928     83.17     36.63  gnome-terminal-
